place_name,state,postcode,latitude,longitude,lga_name,category
Baw Baw (NSW),New South Wales,2580,-34.71904914,149.63853022,Goulburn Mulwaree,Regional centres and other regional areas
Bawley Point,New South Wales,2539,-35.51161463,150.37909028,Shoalhaven,Regional centres and other regional areas
Baxters Ridge,New South Wales,2422,-31.7073523,151.9042828,Mid-Coast,Regional centres and other regional areas
Bean Creek,New South Wales,2469,-28.58143976,152.58741579,Kyogle,Regional centres and other regional areas
Bearbong,New South Wales,2827,-31.66660903,148.89587439,Gilgandra,Regional centres and other regional areas
Beaumont (NSW),New South Wales,2577,-34.78050018,150.57867971,Shoalhaven,Regional centres and other regional areas
Beckom,New South Wales,2665,-34.35639587,147.00603367,Coolamon,Regional centres and other regional areas
Bective,New South Wales,2340,-30.99636099,150.71143137,Tamworth,Regional centres and other regional areas
Bectric,New South Wales,2665,-34.50335282,147.27111518,Temora,Regional centres and other regional areas
Bedgerabong,New South Wales,2871,-33.33342928,147.6999037,Forbes,Regional centres and other regional areas
Beechwood,New South Wales,2446,-31.44185455,152.66267881,Port Macquarie-Hastings,Regional centres and other regional areas
Beecroft Peninsula,New South Wales,2540,-35.05179072,150.80854935,Shoalhaven,Regional centres and other regional areas
Beelbangera,New South Wales,2680,-34.23128579,146.10461581,Griffith,Regional centres and other regional areas
Beemunnel,New South Wales,2824,-31.67179125,147.84831978,Warren,Regional centres and other regional areas
Bega,New South Wales,2550,-36.68864477,149.84181654,Bega Valley,Regional centres and other regional areas
Beggan Beggan,New South Wales,2587,-34.65553231,148.28512784,Hilltops,Regional centres and other regional areas
Belanglo,New South Wales,2577,-34.5122482,150.22168541,Wingecarribee,Regional centres and other regional areas
Belbora,New South Wales,2422,-31.98412774,152.16919399,Mid-Coast,Regional centres and other regional areas
Belford,New South Wales,2335,-32.66934875,151.28806322,Singleton,Regional centres and other regional areas
Belfrayden,New South Wales,2650,-35.11649802,147.05531455,Wagga Wagga,Regional centres and other regional areas
Belgravia,New South Wales,2800,-33.10748073,149.02988935,Cabonne,Regional centres and other regional areas
Bell (NSW),New South Wales,2786,-33.48765186,150.30260565,Lithgow,Regional centres and other regional areas
Bellambi,New South Wales,2518,-34.36834636,150.91699144,Wollongong,Cities and major regional centres
Bellangry,New South Wales,2446,-31.32797117,152.58185301,Port Macquarie-Hastings,Regional centres and other regional areas
Bellata,New South Wales,2397,-29.93546296,149.75891865,Narrabri,Regional centres and other regional areas
Bellawongarah,New South Wales,2535,-34.75885865,150.61915644,Shoalhaven,Cities and major regional centres
Bellbird,New South Wales,2325,-32.85366489,151.31649882,Cessnock,Regional centres and other regional areas
Bellbird Heights,New South Wales,2325,-32.84843722,151.33071831,Cessnock,Regional centres and other regional areas
Bellbrook,New South Wales,2440,-30.75944706,152.4846153,Kempsey,Regional centres and other regional areas
Bellimbopinni,New South Wales,2440,-31.00583966,152.89883459,Kempsey,Regional centres and other regional areas
Bellingen,New South Wales,2454,-30.45284616,152.88869425,Bellingen,Regional centres and other regional areas
Bellmount Forest,New South Wales,2581,-34.92618151,149.2255273,Yass Valley,Regional centres and other regional areas
